,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
10126,42,May 89,H.W. Segar,"P.H. Schoute
Prof. Ignacio Beyens","42
42","Sep 89
Sep 89","52
52",41
10127,42,May 89,J.C. St. Clair,J.C. St. Clair,44,Feb 91,55,41
10128,42,May 89,Capitaine de Rocquigny,,,,,9
10129,42,May 89,W.J.C. Sharp,"W.S. Forster
Prof Aiyar","xx
xx","xx
xx","53
53",46
10130,42,May 89,W.J. Greenstreet,"G.E. Crawford
A.T. Warren","xx
xx","xx
xx","52
52",61
10131,42,May 89,H.L. Orchard,"J.J. Barniville
A. Gordon","42
42","Nov 89
Nov 89","52
52",79
10132,42,May 89,W.W. Poole Hughes,"T.W. Robinson
G.E. Crawford","42
42","Aug 89
Aug 89","52
52",86
10133,42,May 89,Prof Morley,,58,U 03/05,,44
10134,42,May 89,E.M. Langley,"J.J. Barniville
E. Rutter","xx
xx","xx
xx","52
52",41
10135,42,May 89,R.W.D. Christie,"J.J. Barniville
J.L. Kitchin","xx
xx","xx
xx","54
54",6
10136,42,May 89,C.A. Swift,T.R. Terry,42,Oct 89,52,61
10137,42,May 89,R. Knowles,,,,,41
10138,42,May 89,John J. Barniville,"D. Biddle
H.J. Woodall","xx
xx","xx
xx","52
52",61
10139,42,May 89,R. Tucker,R. Tucker,42,Jun 89,51,41
10140,42,Jun 89,J.J. Sylvester,,,,,8
10141,42,Jun 89,Prof. Neuberg,,,,,44
10142,42,Jun 89,Prof. Boutin,"Ignacio Beyens
Prof Madhavarao","xx
xx","xx
xx","56
56",41
10143,42,Jun 89,Prof. Déprez,A.M. Nesbitt,xx,xx,80,41
10144,42,Jun 89,A.M. Nash,A.M. Nash,43,Jan 90,53,12
10145,42,Jun 89,Prof. Mannheim,"W.J. Greenstreet
G. Darboux","42
42","Aug 89
Aug 89","52
52",41
10146,42,Jun 89,Ignacio Beyens,"W.J. Greenstreet
G.G. Storr","xx
xx","xx
xx","52
52",22
10147,42,Jun 89,W.H.H. Hudson,"W.J. Greenstreet
R. Knowles","xx
xx","xx
xx","52
52",3
10148,42,Jun 89,J. Wolstenholme,E.B. Elliott,xx,xx,52,6
10149,42,Jun 89,G.B. Mathews,,,,,23
,,,,,,,,
,,,,,,,,
,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
10150,42,Jun 89,Prof. Gob,,,,,41
10151,42,Jun 89,P.H. Schoute,,,,,41
10152,42,Jun 89,G. de Longchamps,"J.L. Kitchin
Prof. Ignacio Beyens","xx
xx","xx
xx","55
55",22
10153,42,Jun 89,Prof. Morley,,,,,44
10154,42,Jun 89,Editor,,,,,41
10155,42,Jun 89,C. Hermite,"J.L. Kitchin
Prof. Ignacio Beyens","xx
xx","xx
xx","53
53",6
10156,42,Jun 89,R. Holmes,"J.L. Kitchin
Kate Gale","44
44","May 91
May 91","55
55",51
10157,42,Jun 89,R.W.D. Christie,R.W.D. Christie,55,Jul 02,78,9
10158,42,Jun 89,C.H. Thompson,"J.L. Kitchin
D.T. Griffiths","42
42","Aug 89
Aug 89","52
52",41
10159,42,Jun 89,R. Tucker,,,,,41
10160,42,Jun 89,D. Biddle,,63,U 01/10,,13
10161,42,Jun 89,Maurice D’Ocagne,,,,,41
10162,42,Jun 89,E.M. Langley,"J.L. Kitchin
D.T. Griffiths","42
42","Aug 89
Aug 89","52
52",41
10163,42,Jun 89,D. Thomas,E.J. Nanson,59,Jul 06,86,21
10164,42,Jun 89,W.J.C. Sharp,"R. Knowles
R.H.W. Whapham","42
42","Oct 89
Oct 89","52
52",10
10165,42,Jun 89,W.J. Greenstreet,"W.J. Greenstreet
F.P. Matz","xx
xx","xx
xx","54
54",44
10166,42,Jun 89,C.A. Swift,"J.L. Kitchin
W.J. Greenstreet
K.S. Putnam","42
42
xx","Aug 89
Aug 89
xx","52
52
55",41
10167,42,Jun 89,H.L. Orchard,"J.J. Barniville
A. Gordon","42
42","Nov 89
Nov 89","52
52",22
10168,42,Jun 89,H.W. Segar,"J.L. Kitchin
R. Knowles","43
43","Jun 90
Jun 90","53
53",48
10169,42,Jun 89,R.H.W. Whapham,"W.J. Greenstreet
W.H. Rees","42
42","Nov 89
Nov 89","52
52",44
10170,42,Jun 89,R. Knowles,"D.T. Griffiths
G.G. Storr","42
42","Sep 89
Sep 89","52
52",41
10171,42,Jun 89,H.W.L. Hime,H.J. Woodall,xx,xx,60,21
10172,42,Jun 89,Col. Servais,,,,,45
10173,42,Jun 89,T.C. Simmons,R. Chartres,xx,xx,82,13
10174,42,Jun 89,F. Bouvier,"J.C. St. Clair
M. Brierley","xx
xx","xx
xx","54
54",41
10175,42,Jun 89,M. Truc,"T. Galliers
Prof. Ignacio. Beyens","43
43","Jun 90
Jun 90","53
53",48
10176,42,Jun 89,B.F. Finkel,"J.J Barniville
Prof. Ignacio. Beyens","43
43","Jul 90
Jul 90","54
54",47
10177,42,Jun 89,F.R.J. Hervey,F.R.J. Hervey,xx,xx,55,48
10178,42,Jun 89,E. Lemoine,,57,U 03/04,,41
10179,42,Jun 89,J.J. Barniville,R.H.W. Whapham,xx,xx,52,6
10180,42,Jul 89,J.J. Sylvester,J.J. Barniville,42,Oct 89,52,10
10181,42,Jul 89,Syamadas Mukhopâdhyây,,59,U 10/06,,17
10182,42,Jul 89,Prof. Catalan,"J.L. Kitchin
R. Knowles","xx
xx","xx
xx","55
55",10
10183,42,Jul 89,V. Ramaswami Aiyar,"H.J. Woodall
Prof. Bhattacharya","xx
xx","xx
xx","63
63",17
10184,42,Jul 89,P.H. Schoute,,58,U 12/05,,61
10185,42,Jul 89,J. Wolstenholme,"J. Wolstenholme
N. Sarkar","43
43","Jun 90
Jun 90","53
53",41
